date,year,month,day_of_week
2015-05-20,2015,5,3
2015-06-17,2015,6,3
2015-06-19,2015,6,5
2015-06-24,2015,6,3
2015-06-26,2015,6,5
2015-07-11,2015,7,6
2015-07-15,2015,7,3
2015-07-18,2015,7,6
2015-05-10,2015,5,0
2015-09-09,2015,9,3
2015-08-29,2015,8,6
2015-05-05,2015,5,2
2015-08-24,2015,8,1
2015-07-25,2015,7,6
2015-05-30,2015,5,6
2015-07-01,2015,7,3
2015-06-30,2015,6,2
2015-06-27,2015,6,6
2015-07-28,2015,7,2
2015-06-14,2015,6,0
2015-09-01,2015,9,2
2015-09-18,2015,9,5
2015-08-22,2015,8,6
2015-06-16,2015,6,2
2015-07-21,2015,7,2
2015-07-03,2015,7,5
2015-07-04,2015,7,6
2015-06-13,2015,6,6
2015-05-07,2015,5,4
2015-07-22,2015,7,3
2015-07-13,2015,7,1
2015-06-12,2015,6,5
2015-05-09,2015,5,6
2015-09-02,2015,9,3
2015-09-03,2015,9,4
2015-08-01,2015,8,6
2015-08-20,2015,8,4
2015-08-21,2015,8,5
2015-08-23,2015,8,0
2015-05-17,2015,5,0
2015-05-14,2015,5,4
2015-07-24,2015,7,5
2015-07-05,2015,7,0
2015-06-29,2015,6,1
2015-08-09,2015,8,0
2015-08-11,2015,8,2
2015-06-11,2015,6,4
2015-09-07,2015,9,1
2015-07-29,2015,7,3
2015-08-19,2015,8,3
2015-09-12,2015,9,6
2015-07-19,2015,7,0
2015-06-23,2015,6,2
2015-06-01,2015,6,1
2015-08-06,2015,8,4
2015-05-08,2015,5,5
2015-08-26,2015,8,3
2015-09-17,2015,9,4
2015-05-21,2015,5,4
2015-05-28,2015,5,4
2015-08-05,2015,8,3
2015-07-08,2015,7,3
2015-08-15,2015,8,6
2015-05-25,2015,5,1
2015-06-05,2015,6,5
2015-07-27,2015,7,1
2015-08-10,2015,8,1
2015-05-11,2015,5,1
2015-05-19,2015,5,2
2015-07-23,2015,7,4
2015-06-20,2015,6,6
2015-08-18,2015,8,2
2015-07-16,2015,7,4
2015-06-07,2015,6,0
2015-05-06,2015,5,3
2015-07-30,2015,7,4
2015-05-16,2015,5,6
2015-07-20,2015,7,1
2015-06-03,2015,6,3
2015-07-26,2015,7,0
2015-06-08,2015,6,1
2015-09-06,2015,9,0
2015-05-22,2015,5,5
2015-05-29,2015,5,5
2015-05-31,2015,5,0
2015-08-13,2015,8,4
2015-08-17,2015,8,1
2015-05-27,2015,5,3
2015-07-12,2015,7,0
2015-05-13,2015,5,3
2015-09-08,2015,9,2
2015-05-03,2015,5,0
2015-07-06,2015,7,1
2015-05-26,2015,5,2
2015-08-07,2015,8,5
2015-06-06,2015,6,6
2015-06-10,2015,6,3
2015-08-27,2015,8,4
2015-09-14,2015,9,1
2015-09-10,2015,9,4
2015-05-15,2015,5,5
2015-06-18,2015,6,4
2015-07-02,2015,7,4
2015-08-04,2015,8,2
2015-06-25,2015,6,4
2015-06-02,2015,6,2
2015-05-12,2015,5,2
2015-07-31,2015,7,5
2015-06-15,2015,6,1
2015-06-22,2015,6,1
2015-08-03,2015,8,1
2015-08-12,2015,8,3
2015-08-14,2015,8,5
2015-08-08,2015,8,6
2015-07-17,2015,7,5
2015-08-30,2015,8,0
2015-08-31,2015,8,1
2015-09-13,2015,9,0
2015-08-25,2015,8,2
2015-05-18,2015,5,1
2015-05-23,2015,5,6
2015-07-10,2015,7,5
2015-09-04,2015,9,5
2015-08-28,2015,8,5
2015-05-04,2015,5,1
2015-09-11,2015,9,5
2015-07-07,2015,7,2
2015-07-09,2015,7,4
2015-06-09,2015,6,2
2015-09-05,2015,9,6
2015-09-15,2015,9,2
2015-09-16,2015,9,3
2015-06-21,2015,6,0
2015-08-02,2015,8,0
2015-08-16,2015,8,0
2015-05-24,2015,5,0
2015-06-28,2015,6,0
2015-07-14,2015,7,2
2015-06-04,2015,6,4
